Niveau,Leçon,Titre_Leçon,Position,Forme_JP,Traduction_EN,Traduction_FR,URL_EN,URL_FR,URL_JA
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,1/12,だ,"To be, Is",Être,https://bunpro.jp/grammar_points/%E3%81%A0,https://bunpro.jp/fr/grammar_points/%E3%81%A0,https://bunpro.jp/ja/grammar_points/%E3%81%A0
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,2/12,です,"To be, Is",Être (poli),https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%99,https://bunpro.jp/fr/grammar_points/%E3%81%A7%E3%81%99,https://bunpro.jp/ja/grammar_points/%E3%81%A7%E3%81%99
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,3/12,は,As for... (Topic marker),Quant à... (Marqueur de sujet),https://bunpro.jp/grammar_points/%E3%81%AF,https://bunpro.jp/fr/grammar_points/%E3%81%AF,https://bunpro.jp/ja/grammar_points/%E3%81%AF
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,4/12,も,"Also, Too, Even, Neither","Aussi, Même, Non plus",https://bunpro.jp/grammar_points/%E3%82%82,https://bunpro.jp/fr/grammar_points/%E3%82%82,https://bunpro.jp/ja/grammar_points/%E3%82%82
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,5/12,これ,This,Ceci (proche du locuteur),https://bunpro.jp/grammar_points/%E3%81%93%E3%82%8C,https://bunpro.jp/fr/grammar_points/%E3%81%93%E3%82%8C,https://bunpro.jp/ja/grammar_points/%E3%81%93%E3%82%8C
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,6/12,それ,That,Cela (proche de l'interlocuteur),https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C,https://bunpro.jp/fr/grammar_points/%E3%81%9D%E3%82%8C,https://bunpro.jp/ja/grammar_points/%E3%81%9D%E3%82%8C
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,7/12,あれ,That over there,Cela là-bas,https://bunpro.jp/grammar_points/%E3%81%82%E3%82%8C,https://bunpro.jp/fr/grammar_points/%E3%81%82%E3%82%8C,https://bunpro.jp/ja/grammar_points/%E3%81%82%E3%82%8C
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,8/12,の,Possession particle,Particule de possession,https://bunpro.jp/grammar_points/%E3%81%AE,https://bunpro.jp/fr/grammar_points/%E3%81%AE,https://bunpro.jp/ja/grammar_points/%E3%81%AE
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,9/12,いい,Good,"Bon, Bien",https://bunpro.jp/grammar_points/%E3%81%84%E3%81%84,https://bunpro.jp/fr/grammar_points/%E3%81%84%E3%81%84,https://bunpro.jp/ja/grammar_points/%E3%81%84%E3%81%84
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,10/12,い-Adjectives,い-Adjectives,Adjectifs en い,https://bunpro.jp/grammar_points/%E3%81%84-adjectives,https://bunpro.jp/fr/grammar_points/%E3%81%84-adjectives,https://bunpro.jp/ja/grammar_points/%E3%81%84-adjectives
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,11/12,な-Adjectives,な-Adjectives,Adjectifs en な,https://bunpro.jp/grammar_points/%E3%81%AA-adjectives,https://bunpro.jp/fr/grammar_points/%E3%81%AA-adjectives,https://bunpro.jp/ja/grammar_points/%E3%81%AA-adjectives
N5,Leçon 1,Éléments essentiels pour créer une phrase naturelle,12/12,か,Question particle,Particule interrogative,https://bunpro.jp/grammar_points/%E3%81%8B,https://bunpro.jp/fr/grammar_points/%E3%81%8B,https://bunpro.jp/ja/grammar_points/%E3%81%8B
N5,Leçon 2,Verbes et particules de base,1/13,が,Subject marker,Particule de sujet,https://bunpro.jp/grammar_points/%E3%81%8C,https://bunpro.jp/fr/grammar_points/%E3%81%8C,https://bunpro.jp/ja/grammar_points/%E3%81%8C
N5,Leçon 2,Verbes et particules de base,2/13,よ,Emphasis particle,Particule d'emphase,https://bunpro.jp/grammar_points/%E3%82%88,https://bunpro.jp/fr/grammar_points/%E3%82%88,https://bunpro.jp/ja/grammar_points/%E3%82%88
N5,Leçon 2,Verbes et particules de base,3/13,ね,Right? (sentence-ending),N'est-ce pas ?,https://bunpro.jp/grammar_points/%E3%81%AD,https://bunpro.jp/fr/grammar_points/%E3%81%AD,https://bunpro.jp/ja/grammar_points/%E3%81%AD
N5,Leçon 2,Verbes et particules de base,4/13,る-Verbs,Ichidan verbs + ます,Verbes ichidan + ます,https://bunpro.jp/grammar_points/%E3%82%8B-Verbs,https://bunpro.jp/fr/grammar_points/%E3%82%8B-Verbs,https://bunpro.jp/ja/grammar_points/%E3%82%8B-Verbs
N5,Leçon 2,Verbes et particules de base,5/13,う-Verbs,Godan verbs + ます,Verbes godan + ます,https://bunpro.jp/grammar_points/%E3%81%86-Verbs,https://bunpro.jp/fr/grammar_points/%E3%81%86-Verbs,https://bunpro.jp/ja/grammar_points/%E3%81%86-Verbs
N5,Leçon 2,Verbes et particules de base,6/13,を,Object marker,Particule d'objet,https://bunpro.jp/grammar_points/%E3%82%92,https://bunpro.jp/fr/grammar_points/%E3%82%92,https://bunpro.jp/ja/grammar_points/%E3%82%92
N5,Leçon 2,Verbes et particules de base,7/13,ます,Polite verb endings,Terminaisons verbales polies,https://bunpro.jp/grammar_points/polite-verb-endings,https://bunpro.jp/fr/grammar_points/polite-verb-endings,https://bunpro.jp/ja/grammar_points/polite-verb-endings
N5,Leçon 2,Verbes et particules de base,8/13,る-Verb (Negative),Will not/Does not,Négation verbes en る,https://bunpro.jp/grammar_points/%E3%82%8Bverb-%E3%81%AA%E3%81%84,https://bunpro.jp/fr/grammar_points/%E3%82%8Bverb-%E3%81%AA%E3%81%84,https://bunpro.jp/ja/grammar_points/%E3%82%8Bverb-%E3%81%AA%E3%81%84
N5,Leçon 2,Verbes et particules de base,9/13,う-Verb (Negative),Will not/Does not,Négation verbes en う,https://bunpro.jp/grammar_points/%E3%81%86verb--%E3%81%AA%E3%81%84,https://bunpro.jp/fr/grammar_points/%E3%81%86verb--%E3%81%AA%E3%81%84,https://bunpro.jp/ja/grammar_points/%E3%81%86verb--%E3%81%AA%E3%81%84
N5,Leçon 2,Verbes et particules de base,10/13,と,And,Et,https://bunpro.jp/grammar_points/%E3%81%A8-and,https://bunpro.jp/fr/grammar_points/%E3%81%A8-and,https://bunpro.jp/ja/grammar_points/%E3%81%A8-and
N5,Leçon 2,Verbes et particules de base,11/13,ここ,Here,Ici,https://bunpro.jp/grammar_points/%E3%81%93%E3%81%93,https://bunpro.jp/fr/grammar_points/%E3%81%93%E3%81%93,https://bunpro.jp/ja/grammar_points/%E3%81%93%E3%81%93
N5,Leçon 2,Verbes et particules de base,12/13,そこ,There,Là,https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%93,https://bunpro.jp/fr/grammar_points/%E3%81%9D%E3%81%93,https://bunpro.jp/ja/grammar_points/%E3%81%9D%E3%81%93
N5,Leçon 2,Verbes et particules de base,13/13,あそこ,Over there,Là-bas,https://bunpro.jp/grammar_points/%E3%81%82%E3%81%9D%E3%81%93,https://bunpro.jp/fr/grammar_points/%E3%81%82%E3%81%9D%E3%81%93,https://bunpro.jp/ja/grammar_points/%E3%81%82%E3%81%9D%E3%81%93
N5,Leçon 3,Particules de lieu et de temps,1/14,で,"At, In (place of action)","À, Dans (lieu d'action)",https://bunpro.jp/grammar_points/%E3%81%A7,https://bunpro.jp/fr/grammar_points/%E3%81%A7,https://bunpro.jp/ja/grammar_points/%E3%81%A7
N5,Leçon 3,Particules de lieu et de temps,2/14,に,"In, At, To, On","À, Dans, Sur, Pour",https://bunpro.jp/grammar_points/%E3%81%AB,https://bunpro.jp/fr/grammar_points/%E3%81%AB,https://bunpro.jp/ja/grammar_points/%E3%81%AB
N5,Leçon 3,Particules de lieu et de temps,3/14,か,Or,Ou,https://bunpro.jp/grammar_points/%E3%81%8B-or,https://bunpro.jp/fr/grammar_points/%E3%81%8B-or,https://bunpro.jp/ja/grammar_points/%E3%81%8B-or
N5,Leçon 3,Particules de lieu et de temps,4/14,と,With,Avec,https://bunpro.jp/grammar_points/%E3%81%A8-with,https://bunpro.jp/fr/grammar_points/%E3%81%A8-with,https://bunpro.jp/ja/grammar_points/%E3%81%A8-with
N5,Leçon 3,Particules de lieu et de temps,5/14,でしょう,"Right?, Probably",N'est-ce pas ? Probablement,https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%97%E3%82%87%E3%81%86,https://bunpro.jp/fr/grammar_points/%E3%81%A7%E3%81%97%E3%82%87%E3%81%86,https://bunpro.jp/ja/grammar_points/%E3%81%A7%E3%81%97%E3%82%87%E3%81%86
N5,Leçon 3,Particules de lieu et de temps,6/14,だろう,"Right?, Probably","Probablement, Pas vrai ?",https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%8D%E3%81%86,https://bunpro.jp/fr/grammar_points/%E3%81%A0%E3%82%8D%E3%81%86,https://bunpro.jp/ja/grammar_points/%E3%81%A0%E3%82%8D%E3%81%86
N5,Leçon 3,Particules de lieu et de temps,7/14,がある,There is (inanimate),Il y a (inanimé),https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B,https://bunpro.jp/fr/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B,https://bunpro.jp/ja/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B
N5,Leçon 3,Particules de lieu et de temps,8/14,がいる,There is (animate),Il y a (animé),https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%84%E3%82%8B,https://bunpro.jp/fr/grammar_points/%E3%81%8C%E3%81%84%E3%82%8B,https://bunpro.jp/ja/grammar_points/%E3%81%8C%E3%81%84%E3%82%8B
N5,Leçon 3,Particules de lieu et de temps,9/14,この,This (noun modifier),Ce (proche du locuteur),https://bunpro.jp/grammar_points/%E3%81%93%E3%81%AE,https://bunpro.jp/fr/grammar_points/%E3%81%93%E3%81%AE,https://bunpro.jp/ja/grammar_points/%E3%81%93%E3%81%AE
N5,Leçon 3,Particules de lieu et de temps,10/14,その,That (noun modifier),Ce (proche interlocuteur),https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%AE,https://bunpro.jp/fr/grammar_points/%E3%81%9D%E3%81%AE,https://bunpro.jp/ja/grammar_points/%E3%81%9D%E3%81%AE
N5,Leçon 3,Particules de lieu et de temps,11/14,あの,That over there (noun modifier),Ce (loin des deux),https://bunpro.jp/grammar_points/%E3%81%82%E3%81%AE,https://bunpro.jp/fr/grammar_points/%E3%81%82%E3%81%AE,https://bunpro.jp/ja/grammar_points/%E3%81%82%E3%81%AE
N5,Leçon 3,Particules de lieu et de temps,12/14,～んです・のです,"Explanatory, Emphasis","Explication, Insistance",https://bunpro.jp/grammar_points/-%E3%82%93%E3%81%A7%E3%81%99-%E3%81%AE%E3%81%A7%E3%81%99,https://bunpro.jp/fr/grammar_points/-%E3%82%93%E3%81%A7%E3%81%99-%E3%81%AE%E3%81%A7%E3%81%99,https://bunpro.jp/ja/grammar_points/-%E3%82%93%E3%81%A7%E3%81%99-%E3%81%AE%E3%81%A7%E3%81%99
N5,Leçon 3,Particules de lieu et de temps,13/14,の (Questions),Contextual questions,Questions contextuelles,https://bunpro.jp/grammar_points/%E3%81%AE-questions,https://bunpro.jp/fr/grammar_points/%E3%81%AE-questions,https://bunpro.jp/ja/grammar_points/%E3%81%AE-questions
N5,Leçon 3,Particules de lieu et de temps,14/14,い-Adjective (Past),"Was, Were",Était (adjectif en い),https://bunpro.jp/grammar_points/past-tense-%E3%81%84-adjectives,https://bunpro.jp/fr/grammar_points/past-tense-%E3%81%84-adjectives,https://bunpro.jp/ja/grammar_points/past-tense-%E3%81%84-adjectives
