Niveau,Leçon,Titre_Leçon,Position,Forme_JP,Traduction_EN,Traduction_FR,URL_EN,URL_FR,URL_JA
N3,Leçon 1,"Devoir, Pendant, Selon",1/23,ばいい,"Should, It'd be good if","Il suffit de, Il faudrait",https://bunpro.jp/grammar_points/%E3%81%B0%E3%81%84%E3%81%84,https://bunpro.jp/fr/grammar_points/%E3%81%B0%E3%81%84%E3%81%84,https://bunpro.jp/ja/grammar_points/%E3%81%B0%E3%81%84%E3%81%84
N3,Leçon 1,"Devoir, Pendant, Selon",2/23,たらいい・といい,"I hope, It would be nice if","Ce serait bien si, J'espère",https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%89%E3%81%84%E3%81%84-%E3%81%A8%E3%81%84%E3%81%84,https://bunpro.jp/fr/grammar_points/%E3%81%9F%E3%82%89%E3%81%84%E3%81%84-%E3%81%A8%E3%81%84%E3%81%84,https://bunpro.jp/ja/grammar_points/%E3%81%9F%E3%82%89%E3%81%84%E3%81%84-%E3%81%A8%E3%81%84%E3%81%84
N3,Leçon 1,"Devoir, Pendant, Selon",3/23,中（ちゅう）,"During, Throughout","Pendant, Au cours de",https://bunpro.jp/grammar_points/%E4%B8%AD,https://bunpro.jp/fr/grammar_points/%E4%B8%AD,https://bunpro.jp/ja/grammar_points/%E4%B8%AD
N3,Leçon 1,"Devoir, Pendant, Selon",4/23,の間に,"While, During","Pendant que, Durant",https://bunpro.jp/grammar_points/%E3%81%AE%E9%96%93%E3%81%AB,https://bunpro.jp/fr/grammar_points/%E3%81%AE%E9%96%93%E3%81%AB,https://bunpro.jp/ja/grammar_points/%E3%81%AE%E9%96%93%E3%81%AB
N3,Leçon 1,"Devoir, Pendant, Selon",5/23,うちに,"While, During (before change)","Pendant que, Tant que",https://bunpro.jp/grammar_points/%E3%81%86%E3%81%A1%E3%81%AB,https://bunpro.jp/fr/grammar_points/%E3%81%86%E3%81%A1%E3%81%AB,https://bunpro.jp/ja/grammar_points/%E3%81%86%E3%81%A1%E3%81%AB
N3,Leçon 1,"Devoir, Pendant, Selon",6/23,ないうちに,"Before it becomes, Without","Avant que, Sans",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%86%E3%81%A1%E3%81%AB,https://bunpro.jp/fr/grammar_points/%E3%81%AA%E3%81%84%E3%81%86%E3%81%A1%E3%81%AB,https://bunpro.jp/ja/grammar_points/%E3%81%AA%E3%81%84%E3%81%86%E3%81%A1%E3%81%AB
N3,Leçon 1,"Devoir, Pendant, Selon",7/23,べき,"Must, Should, Ought to","Doit, Devrait",https://bunpro.jp/grammar_points/%E3%81%B9%E3%81%8D,https://bunpro.jp/fr/grammar_points/%E3%81%B9%E3%81%8D,https://bunpro.jp/ja/grammar_points/%E3%81%B9%E3%81%8D
N3,Leçon 1,"Devoir, Pendant, Selon",8/23,べきではない,"Should not, Must not",Ne devrait pas,https://bunpro.jp/grammar_points/%E3%81%B9%E3%81%8D%E3%81%A7%E3%81%AF%E3%81%AA%E3%81%84,https://bunpro.jp/fr/grammar_points/%E3%81%B9%E3%81%8D%E3%81%A7%E3%81%AF%E3%81%AA%E3%81%84,https://bunpro.jp/ja/grammar_points/%E3%81%B9%E3%81%8D%E3%81%A7%E3%81%AF%E3%81%AA%E3%81%84
N3,Leçon 1,"Devoir, Pendant, Selon",9/23,って,As for (casual は),En ce qui concerne (informel),https://bunpro.jp/grammar_points/%E3%81%A3%E3%81%A6-slang,https://bunpro.jp/fr/grammar_points/%E3%81%A3%E3%81%A6-slang,https://bunpro.jp/ja/grammar_points/%E3%81%A3%E3%81%A6-slang
N3,Leçon 1,"Devoir, Pendant, Selon",10/23,なかなか,"Very, Quite, Considerably","Vraiment, Assez",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8B%E3%81%AA%E3%81%8B,https://bunpro.jp/fr/grammar_points/%E3%81%AA%E3%81%8B%E3%81%AA%E3%81%8B,https://bunpro.jp/ja/grammar_points/%E3%81%AA%E3%81%8B%E3%81%AA%E3%81%8B
N3,Leçon 1,"Devoir, Pendant, Selon",11/23,あまり,So much...that,Tellement... que,https://bunpro.jp/grammar_points/%E3%81%82%E3%81%BE%E3%82%8A,https://bunpro.jp/fr/grammar_points/%E3%81%82%E3%81%BE%E3%82%8A,https://bunpro.jp/ja/grammar_points/%E3%81%82%E3%81%BE%E3%82%8A
N3,Leçon 1,"Devoir, Pendant, Selon",12/23,なかなか～ない,"Not easily, Hardly","Pas vraiment, À peine",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8B%E3%81%AA%E3%81%8B-%E3%81%AA%E3%81%84,https://bunpro.jp/fr/grammar_points/%E3%81%AA%E3%81%8B%E3%81%AA%E3%81%8B-%E3%81%AA%E3%81%84,https://bunpro.jp/ja/grammar_points/%E3%81%AA%E3%81%8B%E3%81%AA%E3%81%8B-%E3%81%AA%E3%81%84
